tic,time,open,high,low,close,volume,day
688567.sh,2021-03-25,25.88,26.44,24.4,24.4,74273,3
688567.sh,2021-03-26,24.7,26.42,24.58,26.04,53510,4
688567.sh,2021-03-29,26.38,26.55,25.51,25.63,34118,0
688567.sh,2021-03-30,25.75,25.96,25.5,25.65,21725,1
688567.sh,2021-03-31,25.66,26.34,25.44,25.79,20611,2
688567.sh,2021-04-01,26.0,26.39,25.3,26.22,36994,3
688567.sh,2021-04-02,29.99,30.0,27.5,28.06,82644,4
688567.sh,2021-04-06,28.17,28.17,26.65,27.0,50868,1
688567.sh,2021-04-07,26.97,27.24,26.34,26.93,27233,2
688567.sh,2021-04-08,26.55,27.44,26.55,26.8,28678,3
688567.sh,2021-04-09,26.88,26.95,26.4,26.8,22107,4
688567.sh,2021-04-12,26.65,26.77,25.4,25.55,35989,0
688567.sh,2021-04-13,25.99,26.16,25.19,25.28,20714,1
688567.sh,2021-04-14,25.67,26.39,25.35,26.02,28128,2
688567.sh,2021-04-15,25.85,26.1,25.02,25.87,29990,3
688567.sh,2021-04-16,25.44,26.58,25.44,26.36,22330,4
688567.sh,2021-04-19,26.44,27.98,26.18,27.7,49719,0
688567.sh,2021-04-20,27.66,29.13,27.02,28.45,80838,1
688567.sh,2021-04-21,28.3,28.8,27.87,28.4,38496,2
688567.sh,2021-04-22,28.7,29.2,28.2,28.3,52010,3
688567.sh,2021-04-23,28.39,28.75,28.05,28.25,29778,4
688567.sh,2021-04-26,28.25,28.64,27.53,27.75,37215,0
688567.sh,2021-04-27,27.88,27.92,27.42,27.76,14624,1
688567.sh,2021-04-28,27.76,28.26,27.44,27.8,22127,2
688567.sh,2021-04-29,27.7,27.7,26.8,26.97,36690,3
688567.sh,2021-04-30,26.19,27.87,26.02,27.73,36859,4
688567.sh,2021-05-06,27.88,28.12,25.9,27.67,50351,3
688567.sh,2021-05-07,27.6,27.72,26.31,26.38,37613,4
688567.sh,2021-05-10,26.58,26.58,24.4,24.9,61286,0
688567.sh,2021-05-11,24.9,25.36,24.45,25.14,22901,1
688567.sh,2021-05-12,25.18,25.35,24.35,24.61,39986,2
688567.sh,2021-05-13,24.39,24.71,24.04,24.2,23552,3
688567.sh,2021-05-14,24.21,25.28,24.08,25.18,29594,4
688567.sh,2021-05-17,25.51,28.4,25.11,27.8,95878,0
688567.sh,2021-05-18,28.35,28.68,27.17,28.37,88918,1
688567.sh,2021-05-19,27.91,29.88,27.91,29.5,77834,2
688567.sh,2021-05-20,29.22,30.16,28.6,28.67,62057,3
688567.sh,2021-05-21,29.0,29.65,28.5,28.62,42617,4
688567.sh,2021-05-24,28.43,28.79,27.82,27.91,40943,0
688567.sh,2021-05-25,27.62,29.27,27.62,28.98,44086,1
688567.sh,2021-05-26,29.09,29.29,28.5,28.79,25545,2
688567.sh,2021-05-27,28.64,30.38,28.5,29.86,56446,3
688567.sh,2021-05-28,29.86,31.33,29.86,30.64,64566,4
688567.sh,2021-05-31,30.64,34.32,30.6,33.46,113031,0
688567.sh,2021-06-01,33.18,34.11,31.8,32.21,100783,1
688567.sh,2021-06-02,31.88,33.2,31.27,31.38,55826,2
688567.sh,2021-06-03,31.24,32.58,30.73,31.68,45803,3
688567.sh,2021-06-04,31.7,33.15,31.6,32.38,68959,4
688567.sh,2021-06-07,33.1,33.1,30.71,31.14,68170,0
688567.sh,2021-06-08,31.19,31.91,29.32,29.56,77815,1
688567.sh,2021-06-09,29.6,30.07,28.68,29.5,59542,2
688567.sh,2021-06-10,29.5,30.2,29.29,29.63,49509,3
688567.sh,2021-06-11,29.61,29.78,28.21,28.21,62820,4
688567.sh,2021-06-15,29.0,29.2,27.38,27.96,51897,1
688567.sh,2021-06-16,28.12,28.29,27.13,27.43,42063,2
688567.sh,2021-06-17,28.49,29.62,28.12,28.99,80900,3
688567.sh,2021-06-18,28.85,30.78,28.51,30.39,89804,4
688567.sh,2021-06-21,30.4,30.45,29.01,29.95,79293,0
688567.sh,2021-06-22,29.96,30.06,29.29,29.41,63358,1
688567.sh,2021-06-23,29.1,32.48,28.8,31.7,117473,2
688567.sh,2021-06-24,32.0,32.03,30.79,31.29,64335,3
688567.sh,2021-06-25,31.4,34.84,31.03,34.84,195853,4
688567.sh,2021-06-28,34.8,36.3,34.04,35.4,163641,0
688567.sh,2021-06-29,35.79,35.79,33.5,34.08,122672,1
688567.sh,2021-06-30,34.11,34.78,33.52,34.27,89394,2
688567.sh,2021-07-01,34.07,34.26,31.66,31.68,108948,3
688567.sh,2021-07-02,31.5,32.74,31.13,31.49,90730,4
688567.sh,2021-07-05,31.8,32.87,31.33,31.98,74557,0
688567.sh,2021-07-06,32.18,33.96,31.78,32.81,88329,1
688567.sh,2021-07-07,32.95,35.5,32.79,34.76,115485,2
688567.sh,2021-07-08,34.76,35.93,33.8,34.1,109447,3
688567.sh,2021-07-09,34.65,38.89,34.13,38.13,203560,4
688567.sh,2021-07-12,38.66,41.23,38.66,39.57,146721,0
688567.sh,2021-07-13,39.5,40.54,37.68,39.97,124482,1
688567.sh,2021-07-14,40.0,40.1,37.28,37.55,111159,2
688567.sh,2021-07-15,37.82,38.43,35.88,36.54,96269,3
688567.sh,2021-07-16,36.6,37.2,35.09,35.72,86337,4
688567.sh,2021-07-19,34.44,35.67,33.44,34.1,183916,0
688567.sh,2021-07-20,34.1,37.38,33.72,36.67,150312,1
688567.sh,2021-07-21,36.68,37.77,36.05,36.11,138315,2
688567.sh,2021-07-22,36.0,36.52,35.0,35.45,103304,3
688567.sh,2021-07-23,36.0,37.5,35.17,35.4,118330,4
688567.sh,2021-07-26,35.0,35.48,32.58,33.85,144472,0
688567.sh,2021-07-27,34.85,36.58,33.24,33.68,165202,1
688567.sh,2021-07-28,33.03,34.3,31.9,32.3,102043,2
688567.sh,2021-07-29,33.01,34.43,32.61,34.22,95611,3
688567.sh,2021-07-30,34.22,36.16,34.22,34.98,141440,4
688567.sh,2021-08-02,35.68,36.48,34.33,35.36,107878,0
688567.sh,2021-08-03,35.0,35.35,33.0,33.36,90364,1
688567.sh,2021-08-04,33.11,36.24,33.11,36.1,131233,2
688567.sh,2021-08-05,36.1,36.88,35.01,35.43,109507,3
688567.sh,2021-08-06,35.76,38.78,35.74,37.7,214244,4
688567.sh,2021-08-09,38.45,38.45,35.7,36.46,124179,0
688567.sh,2021-08-10,36.63,42.0,36.47,41.2,329703,1
688567.sh,2021-08-11,41.5,44.43,39.91,43.51,398835,2
688567.sh,2021-08-12,43.66,47.88,42.11,46.96,343258,3
688567.sh,2021-08-13,45.48,47.47,43.46,44.27,231676,4
688567.sh,2021-08-16,44.2,44.26,40.6,40.92,182568,0
